hour,day_of_week,is_weekend,month,is_monsoon,road_type,road_length_m,congestion_score
20,0,0,1,0,tertiary,527.5,0.705
23,4,0,2,0,trunk,872.7,0.186
0,0,0,4,0,secondary,1035.4,0.095
20,5,1,9,1,residential,479.9,0.475
0,6,1,3,0,residential,713.5,0.123
10,0,0,2,0,residential,238.6,0.682
11,4,0,5,0,primary,1473.0,0.544
12,0,0,9,1,tertiary,1667.3,0.783
11,4,0,4,0,primary,139.4,0.681
2,6,1,4,0,primary,791.2,0.108
14,5,1,6,1,secondary,771.9,0.496
20,0,0,10,1,secondary,1091.6,0.997
14,3,0,5,0,trunk,478.2,0.69
1,1,0,1,0,tertiary,832.3,0.134
2,1,0,10,1,tertiary,464.6,0.126
4,2,0,3,0,secondary,1502.7,0.052
17,2,0,12,0,trunk,885.4,1.0
4,4,0,8,1,primary,1523.8,0.123
4,5,1,3,0,residential,1213.0,0.05
14,4,0,5,0,trunk,1728.5,0.773
0,5,1,12,0,primary,1379.3,0.05
20,2,0,2,0,tertiary,897.8,0.681
14,0,0,12,0,tertiary,1945.2,0.602
3,6,1,11,1,tertiary,1691.3,0.05
6,1,0,6,1,secondary,1101.8,0.582
10,3,0,1,0,primary,1861.7,0.742
9,1,0,1,0,secondary,1762.1,1.0
15,6,1,2,0,trunk,1543.4,0.525
4,5,1,8,1,trunk,372.0,0.05
17,6,1,12,0,secondary,1440.3,0.64
12,5,1,11,1,tertiary,904.3,0.603
10,0,0,10,1,trunk,498.7,0.922
2,5,1,11,1,primary,496.4,0.105
7,2,0,11,1,residential,467.8,0.8
18,4,0,8,1,secondary,1580.0,1.0
13,2,0,7,1,residential,960.7,0.852
21,5,1,11,1,primary,168.2,0.506
6,1,0,9,1,residential,323.4,0.402
14,1,0,2,0,residential,1625.6,0.56
20,4,0,1,0,primary,1856.4,0.792
7,1,0,7,1,residential,988.6,0.996
0,3,0,5,0,residential,606.2,0.05
22,5,1,9,1,residential,351.9,0.289
17,0,0,12,0,tertiary,161.5,1.0
18,3,0,9,1,trunk,357.0,1.0
19,0,0,11,1,secondary,837.4,1.0
18,1,0,10,1,trunk,127.5,1.0
10,2,0,4,0,tertiary,515.4,0.579
12,1,0,11,1,tertiary,941.6,0.878
19,4,0,2,0,primary,1098.4,1.0
16,2,0,3,0,tertiary,1767.7,0.84
5,3,0,9,1,tertiary,1242.8,0.208
20,4,0,1,0,trunk,633.8,0.779
4,2,0,2,0,primary,1497.7,0.05
4,2,0,5,0,trunk,460.7,0.07
8,4,0,8,1,tertiary,1815.4,1.0
2,5,1,7,1,tertiary,136.0,0.164
5,5,1,8,1,trunk,1426.1,0.244
3,0,0,12,0,secondary,1113.9,0.096
4,3,0,3,0,primary,651.1,0.051
1,2,0,4,0,secondary,1350.5,0.05
13,4,0,12,0,secondary,1855.2,0.801
7,6,1,3,0,secondary,1768.8,0.351
10,6,1,7,1,secondary,570.3,0.514
3,3,0,1,0,residential,483.7,0.075
9,6,1,4,0,secondary,96.1,0.324
6,3,0,6,1,tertiary,1735.5,0.546
12,5,1,9,1,tertiary,1881.5,0.592
8,1,0,10,1,tertiary,124.6,1.0
13,4,0,9,1,primary,801.1,1.0
8,0,0,12,0,residential,53.3,0.991
23,5,1,12,0,secondary,760.2,0.097
2,5,1,6,1,trunk,662.1,0.087
9,5,1,7,1,tertiary,834.7,0.315
4,1,0,7,1,residential,1370.8,0.084
17,6,1,1,0,tertiary,609.5,0.548
13,6,1,10,1,trunk,1326.7,0.627
15,6,1,12,0,secondary,1334.8,0.487
9,4,0,11,1,trunk,703.6,1.0
7,6,1,4,0,secondary,97.6,0.195
7,3,0,10,1,primary,938.1,1.0
12,3,0,7,1,secondary,337.8,0.862
3,6,1,7,1,secondary,393.0,0.071
7,6,1,2,0,residential,310.0,0.196
14,5,1,9,1,trunk,1211.1,0.732
23,4,0,7,1,trunk,919.5,0.149
15,3,0,5,0,secondary,1687.7,0.71
15,5,1,4,0,tertiary,907.8,0.522
22,2,0,4,0,tertiary,704.9,0.304
4,1,0,7,1,secondary,1427.5,0.099
13,2,0,9,1,residential,860.8,0.637
18,5,1,1,0,trunk,791.7,1.0
0,2,0,5,0,residential,1714.2,0.102
23,5,1,9,1,trunk,1800.7,0.159
8,3,0,8,1,primary,808.3,1.0
14,1,0,10,1,trunk,102.6,0.81
18,5,1,1,0,primary,1303.4,0.973
1,2,0,7,1,tertiary,462.7,0.111
12,2,0,7,1,tertiary,1678.1,0.785
11,1,0,11,1,primary,1573.4,0.858
0,1,0,4,0,primary,1261.6,0.072
3,4,0,4,0,residential,1414.0,0.109
11,1,0,10,1,trunk,1929.3,0.926
9,0,0,10,1,primary,1861.3,1.0
12,3,0,12,0,secondary,198.2,0.662
3,5,1,5,0,trunk,1620.8,0.05
18,6,1,1,0,tertiary,1088.9,0.614
20,2,0,1,0,residential,1653.5,0.614
3,3,0,6,1,residential,1429.3,0.051
8,4,0,9,1,residential,956.5,1.0
18,2,0,6,1,secondary,1669.9,1.0
14,4,0,10,1,residential,706.0,0.656
